Cell-type-specific	O
transactivation	O
of	O
the	O
parathyroid	B-DNA
hormone-related	I-DNA
protein	I-DNA
gene	I-DNA
promoter	I-DNA
by	O
the	O
human	B-protein
T-cell	I-protein
leukemia	I-protein
virus	I-protein
type	I-protein
I	I-protein
(	I-protein
HTLV-I	I-protein
)	I-protein
tax	I-protein
and	O
HTLV-II	B-protein
tax	I-protein
proteins	I-protein
.	O

The	O
human	B-protein
T-cell	I-protein
leukemia	I-protein
virus	I-protein
type	I-protein
I	I-protein
(	I-protein
HTLV-I	I-protein
)	I-protein
and	I-protein
HTLV-II	I-protein
Tax	I-protein
proteins	I-protein
are	O
potent	O
transactivators	B-protein
of	O
viral	O
and	O
cellular	O
gene	O
expression	O
.	O

Using	O
deletion	B-DNA
mutants	I-DNA
,	O
the	O
downstream	O
parathyroid	B-DNA
hormone-related	I-DNA
protein	I-DNA
(	I-DNA
PTHrP	I-DNA
)	I-DNA
promoter	I-DNA
is	O
shown	O
to	O
be	O
responsive	O
to	O
both	O
HTLV-I	B-protein
and	I-protein
HTLV-II	I-protein
Tax	I-protein
as	O
well	O
as	O
the	O
AP1/c-jun	B-DNA
proto-oncogene	I-DNA
.	O

Transactivation	O
of	O
PTHrP	B-protein
by	O
Tax	B-protein
was	O
seen	O
in	O
T	B-cell_type
cells	I-cell_type
but	O
not	O
in	O
B-cell	B-cell_line
lines	I-cell_line
or	O
fibroblasts	B-cell_line
.	O

A	O
carboxy	B-DNA
terminal	I-DNA
Tax	I-DNA
deletion	I-DNA
mutant	I-DNA
was	O
deficient	O
in	O
transactivation	O
of	O
both	O
the	O
PTHrP	B-DNA
and	I-DNA
IL2R	I-DNA
alpha	I-DNA
promoters	I-DNA
but	O
not	O
the	O
HTLV-I	B-DNA
long	I-DNA
terminal	I-DNA
repeat	I-DNA
(	O
LTR	B-DNA
)	O
.	O

Exogenous	O
provision	O
of	O
NFkB	B-protein
rescued	O
IL2R	B-protein
alpha	O
expression	O
but	O
not	O
the	O
PTHrP	B-DNA
promoter	I-DNA
.	O

Thus	O
,	O
HTLV-I	B-protein
Tax	I-protein
,	O
HTLV-II	B-protein
Tax	I-protein
,	O
and	O
c-jun	B-protein
transactivate	O
PTHrP	B-protein
and	O
may	O
contribute	O
to	O
the	O
pathogenesis	O
of	O
hypercalcemia	O
in	O
adult	O
T-cell	O
leukemia	O
.	O

