CHAPTER	O
I	O
It	O
was	O
a	O
Sunday	O
evening	O
in	O
October	O
,	O
and	O
in	O
common	O
with	O
many	B-PER
other	I-PER
young	I-PER
ladies	I-PER
of	I-PER
her	I-PER
class	I-PER
,	O
Katharine	B-PER
Hilbery	I-PER
was	O
pouring	O
out	O
tea	O
.	O

Perhaps	O
a	O
fifth	O
part	O
of	O
her	O
mind	O
was	O
thus	O
occupied	O
,	O
and	O
the	O
remaining	O
parts	O
leapt	O
over	O
the	O
little	O
barrier	O
of	O
day	O
which	O
interposed	O
between	O
Monday	O
morning	O
and	O
this	O
rather	O
subdued	O
moment	O
,	O
and	O
played	O
with	O
the	O
things	O
one	O
does	O
voluntarily	O
and	O
normally	O
in	O
the	O
daylight	O
.	O

But	O
although	O
she	O
was	O
silent	O
,	O
she	O
was	O
evidently	O
mistress	B-PER
of	O
a	O
situation	O
which	O
was	O
familiar	O
enough	O
to	O
her	O
,	O
and	O
inclined	O
to	O
let	O
it	O
take	O
its	O
way	O
for	O
the	O
six	O
hundredth	O
time	O
,	O
perhaps	O
,	O
without	O
bringing	O
into	O
play	O
any	O
of	O
her	O
unoccupied	O
faculties	O
.	O

A	O
single	O
glance	O
was	O
enough	O
to	O
show	O
that	O
Mrs.	B-PER
Hilbery	I-PER
was	O
so	O
rich	O
in	O
the	O
gifts	O
which	O
make	O
tea-parties	O
of	O
elderly	B-PER
distinguished	I-PER
people	I-PER
successful	O
,	O
that	O
she	O
scarcely	O
needed	O
any	O
help	O
from	O
her	B-PER
daughter	I-PER
,	O
provided	O
that	O
the	O
tiresome	O
business	O
of	O
teacups	O
and	O
bread	O
and	O
butter	O
was	O
discharged	O
for	O
her	O
.	O

Considering	O
that	O
the	B-PER
little	I-PER
party	I-PER
had	O
been	O
seated	O
round	O
the	O
tea-table	O
for	O
less	O
than	O
twenty	O
minutes	O
,	O
the	O
animation	O
observable	O
on	O
their	O
faces	O
,	O
and	O
the	O
amount	O
of	O
sound	O
they	O
were	O
producing	O
collectively	O
,	O
were	O
very	O
creditable	O
to	O
the	B-PER
hostess	I-PER
.	O

It	O
suddenly	O
came	O
into	O
Katharine	B-PER
’s	O
mind	O
that	O
if	O
some	B-PER
one	I-PER
opened	O
the	O
door	O
at	O
this	O
moment	O
he	O
would	O
think	O
that	O
they	O
were	O
enjoying	O
themselves	O
;	O
he	O
would	O
think	O
,	O
“	O
What	O
an	B-FAC
extremely	I-FAC
nice	I-FAC
house	I-FAC
to	O
come	O
into	O
!	O
”	O

and	O
instinctively	O
she	O
laughed	O
,	O
and	O
said	O
something	O
to	O
increase	O
the	O
noise	O
,	O
for	O
the	O
credit	O
of	O
the	B-FAC
house	I-FAC
presumably	O
,	O
since	O
she	O
herself	O
had	O
not	O
been	O
feeling	O
exhilarated	O
.	O

At	O
the	O
very	O
same	O
moment	O
,	O
rather	O
to	O
her	O
amusement	O
,	O
the	O
door	O
was	O
flung	O
open	O
,	O
and	O
a	B-PER
young	I-PER
man	I-PER
entered	O
the	B-FAC
room	I-FAC
.	O

Katharine	B-PER
,	O
as	O
she	O
shook	O
hands	O
with	O
him	O
,	O
asked	O
him	O
,	O
in	O
her	O
own	O
mind	O
,	O
“	O
Now	O
,	O
do	O
you	O
think	O
we	O
’re	O
enjoying	O
ourselves	O
enormously	O
?	O
”	O

...	O
“	O
Mr.	B-PER
Denham	I-PER
,	O
mother	B-PER
,	O
”	O
she	O
said	O
aloud	O
,	O
for	O
she	O
saw	O
that	O
her	B-PER
mother	I-PER
had	O
forgotten	O
his	O
name	O
.	O

That	O
fact	O
was	O
perceptible	O
to	O
