PART	O
ONE	O
CHAPTER	O
I	O
THE	O
EARLY	O
MARRIED	O
LIFE	O
OF	O
THE	B-PER
MORELS	I-PER
“	O
THE	B-FAC
BOTTOMS	I-FAC
”	O
succeeded	O
to	O
“	O
Hell	B-FAC
Row	I-FAC
”	O
.	O

Hell	B-FAC
Row	I-FAC
was	O
a	B-FAC
block	I-FAC
of	I-FAC
thatched	I-FAC
,	I-FAC
bulging	I-FAC
cottages	I-FAC
that	I-FAC
stood	I-FAC
by	I-FAC
the	I-FAC
brookside	I-FAC
on	I-FAC
Greenhill	I-FAC
Lane	I-FAC
.	O

There	B-FAC
lived	O
the	B-PER
colliers	I-PER
who	I-PER
worked	I-PER
in	I-PER
the	I-PER
little	I-PER
gin-pits	I-PER
two	I-PER
fields	I-PER
away	I-PER
.	O

The	B-LOC
brook	I-LOC
ran	O
under	O
the	O
alder	O
trees	O
,	O
scarcely	O
soiled	O
by	O
these	B-FAC
small	I-FAC
mines	I-FAC
,	I-FAC
whose	I-FAC
coal	I-FAC
was	I-FAC
drawn	I-FAC
to	I-FAC
the	I-FAC
surface	I-FAC
by	I-FAC
donkeys	I-FAC
that	I-FAC
plodded	I-FAC
wearily	I-FAC
in	I-FAC
a	I-FAC
circle	I-FAC
round	I-FAC
a	I-FAC
gin	I-FAC
.	O

And	O
all	O
over	O
the	B-LOC
countryside	I-LOC
were	O
these	B-FAC
same	I-FAC
pits	I-FAC
,	O
some	O
of	O
which	O
had	O
been	O
worked	O
in	O
the	O
time	O
of	O
Charles	B-PER
II	I-PER
,	O
the	B-PER
few	I-PER
colliers	I-PER
and	O
the	O
donkeys	O
burrowing	O
down	O
like	O
ants	O
into	O
the	B-LOC
earth	I-LOC
,	O
making	O
queer	O
mounds	O
and	O
little	O
black	O
places	O
among	O
the	B-LOC
corn-fields	I-LOC
and	O
the	B-LOC
meadows	I-LOC
.	O

And	O
the	B-FAC
cottages	I-FAC
of	O
these	B-PER
coal-miners	I-PER
,	O
in	O
blocks	O
and	O
pairs	O
here	O
and	O
there	O
,	O
together	O
with	O
odd	B-FAC
farms	I-FAC
and	I-FAC
homes	I-FAC
of	I-FAC
the	I-FAC
stockingers	I-FAC
,	I-FAC
straying	I-FAC
over	I-FAC
the	I-FAC
parish	I-FAC
,	O
formed	O
the	B-GPE
village	I-GPE
of	I-GPE
Bestwood	I-GPE
.	O

Then	O
,	O
some	O
sixty	O
years	O
ago	O
,	O
a	O
sudden	O
change	O
took	O
place	O
,	O
gin-pits	B-FAC
were	O
elbowed	O
aside	O
by	O
the	B-FAC
large	I-FAC
mines	I-FAC
of	I-FAC
the	I-FAC
financiers	I-FAC
.	O

The	B-LOC
coal	I-LOC
and	I-LOC
iron	I-LOC
field	I-LOC
of	I-LOC
Nottinghamshire	I-LOC
and	I-LOC
Derbyshire	I-LOC
was	O
discovered	O
.	O

Carston	B-ORG
,	I-ORG
Waite	I-ORG
and	I-ORG
Co.	I-ORG
appeared	O
.	O

Amid	O
tremendous	O
excitement	O
,	O
Lord	B-PER
Palmerston	I-PER
formally	O
opened	O
the	B-FAC
company	I-FAC
's	I-FAC
first	I-FAC
mine	I-FAC
at	O
Spinney	B-FAC
Park	I-FAC
,	O
on	O
the	B-LOC
edge	I-LOC
of	I-LOC
Sherwood	I-LOC
Forest	I-LOC
.	O

About	O
this	O
time	O
the	B-FAC
notorious	I-FAC
Hell	I-FAC
Row	I-FAC
,	O
which	O
through	O
growing	O
old	O
had	O
acquired	O
