CHAPTER	O
I	O
—	O
START	O
IN	O
LIFE	O
I	O
was	O
born	O
in	O
the	O
year	O
1632	O
,	O
in	O
the	B-GPE
city	I-GPE
of	I-GPE
York	I-GPE
,	O
of	O
a	B-PER
good	I-PER
family	I-PER
,	O
though	O
not	O
of	O
that	B-GPE
country	I-GPE
,	O
my	B-PER
father	I-PER
being	O
a	B-PER
foreigner	I-PER
of	I-PER
Bremen	I-PER
,	O
who	O
settled	O
first	O
at	O
Hull	B-GPE
.	O

He	O
got	O
a	O
good	O
estate	O
by	O
merchandise	O
,	O
and	O
leaving	O
off	O
his	O
trade	O
,	O
lived	O
afterwards	O
at	O
York	B-GPE
,	O
from	O
whence	O
he	O
had	O
married	O
my	B-PER
mother	I-PER
,	O
whose	O
relations	O
were	O
named	O
Robinson	B-PER
,	O
a	B-PER
very	I-PER
good	I-PER
family	I-PER
in	O
that	B-GPE
country	I-GPE
,	O
and	O
from	O
whom	O
I	O
was	O
called	O
Robinson	B-PER
Kreutznaer	I-PER
;	O
but	O
,	O
by	O
the	O
usual	O
corruption	O
of	O
words	O
in	O
England	B-GPE
,	O
we	O
are	O
now	O
called	O
—	O
nay	O
we	O
call	O
ourselves	O
and	O
write	O
our	O
name	O
—	O
Crusoe	B-PER
;	O
and	O
so	O
my	B-PER
companions	I-PER
always	O
called	O
me	O
.	O

I	O
had	O
two	B-PER
elder	I-PER
brothers	I-PER
,	O
one	O
of	O
whom	O
was	O
lieutenant-colonel	B-PER
to	I-PER
an	I-PER
English	I-PER
regiment	I-PER
of	I-PER
foot	I-PER
in	I-PER
Flanders	I-PER
,	I-PER
formerly	I-PER
commanded	I-PER
by	I-PER
the	I-PER
famous	I-PER
Colonel	I-PER
Lockhart	I-PER
,	I-PER
and	O
was	O
killed	O
at	O
the	O
battle	O
near	O
Dunkirk	B-GPE
against	O
the	B-GPE
Spaniards	I-GPE
.	O

What	O
became	O
of	O
my	B-PER
second	I-PER
brother	I-PER
I	O
never	O
knew	O
,	O
any	O
more	O
than	O
my	B-PER
father	I-PER
or	O
mother	B-PER
knew	O
what	O
became	O
of	O
me	O
.	O

Being	O
the	B-PER
third	I-PER
son	I-PER
of	I-PER
the	I-PER
family	I-PER
and	O
not	O
bred	O
to	O
any	O
trade	O
,	O
my	O
head	O
began	O
to	O
be	O
filled	O
very	O
early	O
with	O
rambling	O
thoughts	O
.	O

My	B-PER
father	I-PER
,	I-PER
who	I-PER
was	I-PER
very	I-PER
ancient	I-PER
,	O
had	O
given	O
me	O
a	O
competent	O
share	O
of	O
learning	O
,	O
as	O
far	O
as	O
house-education	O
and	O
a	B-FAC
country	I-FAC
free	I-FAC
school	I-FAC
generally	O
go	O
,	O
and	O
designed	O
me	O
for	O
the	O
law	O
;	O
but	O
I	O
would	O
be	O
satisfied	O
with	O
nothing	O
but	O
going	O
to	O
sea	B-LOC
;	O
and	O
my	O
inclination	O
to	O
this	O
led	O
me	O
so	O
strongly	O
against	O
the	O
will	O
,	O
nay	O
,	O
the	O
commands	O
of	O
my	B-PER
father	I-PER
,	O
and	O
against	O
all	O
the	O
entreaties	O
and	O
persuasions	O
of	O
my	B-PER
mother	I-PER
and	O
other	O
friends	B-PER
,	O
that	O
there	O
seemed	O
to	O
be	O
something	O
fatal	O
in	O
that	O
propensity	O
of	O
nature	O
,	O
tending	O
directly	O
to	O
the	O
life	O
of	O
misery	O
which	O
was	O
to	O
befall	O
me	O
.	O

My	B-PER
father	I-PER
,	O
a	B-PER
wise	I-PER
and	I-PER
grave	I-PER
man	I-PER
,	O
gave	O
me	O
serious	O
and	O
excellent	O
counsel	O
