PART	O
I	O
.	O

A	O
VOYAGE	O
TO	O
LILLIPUT	B-GPE
.	O

CHAPTER	O
I	O
.	O

The	B-PER
author	I-PER
gives	O
some	O
account	O
of	O
himself	O
and	O
family	B-PER
.	O

His	O
first	O
inducements	O
to	O
travel	O
.	O

He	O
is	O
shipwrecked	O
,	O
and	O
swims	O
for	O
his	O
life	O
.	O

Gets	O
safe	O
on	O
shore	B-LOC
in	O
the	B-GPE
country	I-GPE
of	I-GPE
Lilliput	I-GPE
;	O
is	O
made	O
a	B-PER
prisoner	I-PER
,	O
and	O
carried	O
up	O
the	B-GPE
country	I-GPE
.	O

My	B-PER
father	I-PER
had	O
a	B-FAC
small	I-FAC
estate	I-FAC
in	I-FAC
Nottinghamshire	I-FAC
:	O
I	O
was	O
the	B-PER
third	I-PER
of	I-PER
five	I-PER
sons	I-PER
.	O

He	O
sent	O
me	O
to	O
Emanuel	B-FAC
College	I-FAC
in	O
Cambridge	B-GPE
at	O
fourteen	O
years	O
old	O
,	O
where	O
I	O
resided	O
three	O
years	O
,	O
and	O
applied	O
myself	O
close	O
to	O
my	O
studies	O
;	O
but	O
the	O
charge	O
of	O
maintaining	O
me	O
,	O
although	O
I	O
had	O
a	O
very	O
scanty	O
allowance	O
,	O
being	O
too	O
great	O
for	O
a	O
narrow	O
fortune	O
,	O
I	O
was	O
bound	O
apprentice	O
to	O
Mr.	B-PER
James	I-PER
Bates	I-PER
,	O
an	B-PER
eminent	I-PER
surgeon	I-PER
in	I-PER
London	I-PER
,	O
with	O
whom	O
I	O
continued	O
four	O
years	O
.	O

My	B-PER
father	I-PER
now	O
and	O
then	O
sending	O
me	O
small	O
sums	O
of	O
money	O
,	O
I	O
laid	O
them	O
out	O
in	O
learning	O
navigation	O
,	O
and	O
other	O
parts	O
of	O
the	O
mathematics	O
,	O
useful	O
to	O
those	O
who	O
intend	O
to	O
travel	O
,	O
as	O
I	O
always	O
believed	O
it	O
would	O
be	O
,	O
some	O
time	O
or	O
other	O
,	O
my	O
fortune	O
to	O
do	O
.	O

When	O
I	O
left	O
Mr.	B-PER
Bates	I-PER
,	O
I	O
went	O
down	O
to	O
my	B-PER
father	I-PER
:	O
where	O
,	O
by	O
the	O
assistance	O
of	O
him	O
and	O
my	B-PER
uncle	I-PER
John	B-PER
,	O
and	O
some	B-PER
other	I-PER
relations	I-PER
,	O
I	O
got	O
forty	O
pounds	O
,	O
and	O
a	O
promise	O
of	O
thirty	O
pounds	O
a	O
year	O
to	O
maintain	O
me	O
at	O
Leyden	B-GPE
:	O
there	B-GPE
I	O
studied	O
physic	O
two	O
years	O
and	O
seven	O
months	O
,	O
knowing	O
it	O
would	O
be	O
useful	O
in	O
long	O
voyages	O
.	O

Soon	O
after	O
my	O
return	O
from	O
Leyden	B-GPE
,	O
I	O
was	O
recommended	O
by	O
my	B-PER
good	I-PER
master	I-PER
,	O
Mr.	B-PER
Bates	I-PER
,	O
to	O
be	O
surgeon	B-PER
to	I-PER
the	I-PER
Swallow	I-PER
,	O
Captain	B-PER
Abraham	I-PER
Pannel	I-PER
,	O
commander	B-PER
;	O
with	O
whom	O
I	O
continued	O
three	O
years	O
and	O
a	O
half	O
,	O
making	O
a	O
voyage	O
or	O
two	O
into	O
the	B-LOC
Levant	I-LOC
,	O
and	O
some	B-LOC
other	I-LOC
parts	I-LOC
.	O

When	O
I	O
came	O
back	O
I	O
resolved	O
to	O
settle	O
in	O
London	B-GPE
;	O
to	O
which	O
Mr.	B-PER
Bates	I-PER
,	O
my	B-PER
master	I-PER
,	O
encouraged	O
me	O
,	O
and	O
by	O
him	O
I	O
was	O
recommended	O
to	O
several	B-PER
patients	I-PER
.	O

I	O
took	O
part	O
of	O
a	B-FAC
small	I-FAC
house	I-FAC
in	I-FAC
the	I-FAC
Old	I-FAC
Jewry	I-FAC
;	O
and	O
being	O
advised	O
to	O
alter	O
my	O
condition	O
,	O
I	O
married	O
Mrs.	B-PER
Mary	I-PER
Burton	I-PER
,	O
second	B-PER
daughter	I-PER
to	I-PER
Mr.	I-PER
Edmund	I-PER
Burton	I-PER
,	O
hosier	B-PER
,	O
in	O
Newgate-street	B-FAC
,	O
with	O
whom	O
I	O
received	O
four	O
hundred	O
pounds	O
for	O
a	O
portion	O
.	O

But	O
my	B-PER
good	I-PER
master	I-PER
Bates	B-PER
dying	O
in	O
two	O
years	O
after	O
,	O
and	O
I	O
having	O
few	B-PER
friends	I-PER
,	O
my	B-ORG
business	I-ORG
began	O
to	O
fail	O
;	O
for	O
my	O
conscience	O
would	O
not	O
suffer	O
me	O
to	O
imitate	O
the	O
bad	O
practice	O
of	O
too	O
many	O
among	O
my	B-PER
brethren	I-PER
.	O

Having	O
therefore	O
consulted	O
with	O
my	B-PER
wife	I-PER
,	O
and	O
some	B-PER
of	I-PER
my	I-PER
acquaintance	I-PER
,	O
I	O
determined	O
to	O
go	O
again	O
to	O
sea	B-LOC
.	O

I	O
was	O
surgeon	B-PER
successively	O
in	O
two	B-VEH
ships	I-VEH
,	O
and	O
made	O
several	O
voyages	O
,	O
for	O
six	O
years	O
,	O
to	O
the	B-LOC
East	I-LOC
and	I-LOC
West	I-LOC
Indies	I-LOC
,	O
by	O
which	O
I	O
got	O
some	O
addition	O
to	O
my	O
fortune	O
.	O

My	O
hours	O
of	O
leisure	O
I	O
spent	O
in	O
reading	O
the	B-PER
best	I-PER
authors	I-PER
,	I-PER
ancient	I-PER
and	I-PER
modern	I-PER
,	O
being	O
always	O
provided	O
with	O
a	O
good	O
number	O
of	O
books	O
;	O
and	O
when	O
I	O
was	O
ashore	O
,	O
in	O
observing	O
the	O
manners	O
and	O
dispositions	O
of	O
the	B-PER
people	I-PER
,	O
as	O
well	O
as	O
learning	O
their	O
language	O
;	O
wherein	O
I	O
had	O
a	O
great	O
facility	O
,	O
by	O
the	O
strength	O
of	O
my	O
memory	O
.	O

The	O
last	O
of	O
these	O
voyages	O
not	O
proving	O
very	O
fortunate	O
,	O
I	O
grew	O
weary	O
of	O
the	B-LOC
sea	I-LOC
,	O
and	O
intended	O
to	O
stay	O
at	O
home	B-FAC
with	O
my	B-PER
wife	I-PER
and	O
family	B-PER
.	O

I	O
removed	O
from	O
the	B-FAC
Old	I-FAC
Jewry	I-FAC
to	O
Fetter	B-FAC
Lane	I-FAC
,	O
and	O
from	O
thence	O
to	O
Wapping	B-FAC
,	O
hoping	O
to	O
get	O
business	O
among	O
the	B-PER
sailors	I-PER
;	O
but	O
it	O
would	O
not	O
turn	O
to	O
account	O
.	O

After	O
three	O
years	O
expectation	O
that	O
things	O
would	O
mend	O
,	O
I	O
accepted	O
