Letter	O
1	O
St.	B-GPE
Petersburgh	I-GPE
,	O
Dec.	O
11th	O
,	O
17	O
--	O
TO	O
Mrs.	B-PER
Saville	I-PER
,	O
England	B-GPE
You	O
will	O
rejoice	O
to	O
hear	O
that	O
no	O
disaster	O
has	O
accompanied	O
the	O
commencement	O
of	O
an	O
enterprise	O
which	O
you	O
have	O
regarded	O
with	O
such	O
evil	O
forebodings	O
.	O

I	O
arrived	O
here	B-GPE
yesterday	O
,	O
and	O
my	O
first	O
task	O
is	O
to	O
assure	O
my	B-PER
dear	I-PER
sister	I-PER
of	O
my	O
welfare	O
and	O
increasing	O
confidence	O
in	O
the	O
success	O
of	O
my	O
undertaking	O
.	O

I	O
am	O
already	O
far	B-LOC
north	I-LOC
of	I-LOC
London	I-LOC
,	O
and	O
as	O
I	O
walk	O
in	O
the	B-FAC
streets	I-FAC
of	I-FAC
Petersburgh	I-FAC
,	O
I	O
feel	O
a	O
cold	O
northern	O
breeze	O
play	O
upon	O
my	O
cheeks	O
,	O
which	O
braces	O
my	O
nerves	O
and	O
fills	O
me	O
with	O
delight	O
.	O

Do	O
you	O
understand	O
this	O
feeling	O
?	O

This	O
breeze	O
,	O
which	O
has	O
travelled	O
from	O
the	B-LOC
regions	I-LOC
towards	I-LOC
which	I-LOC
I	I-LOC
am	I-LOC
advancing	I-LOC
,	O
gives	O
me	O
a	O
foretaste	O
of	O
those	B-LOC
icy	I-LOC
climes	I-LOC
.	O

Inspirited	O
by	O
this	O
wind	O
of	O
promise	O
,	O
my	O
daydreams	O
become	O
more	O
fervent	O
and	O
vivid	O
.	O

I	O
try	O
in	O
vain	O
to	O
be	O
persuaded	O
that	O
the	B-LOC
pole	I-LOC
is	O
the	B-LOC
seat	I-LOC
of	I-LOC
frost	I-LOC
and	I-LOC
desolation	I-LOC
;	O
it	O
ever	O
presents	O
itself	O
to	O
my	O
imagination	O
as	O
the	B-LOC
region	I-LOC
of	I-LOC
beauty	I-LOC
and	I-LOC
delight	I-LOC
.	O

There	B-LOC
,	O
Margaret	B-PER
,	O
the	O
sun	O
is	O
forever	O
visible	O
,	O
its	O
broad	O
disk	O
just	O
skirting	O
the	O
horizon	O
and	O
diffusing	O
a	O
perpetual	O
splendour	O
.	O

There	B-LOC
--	O
for	O
with	O
your	O
leave	O
,	O
my	B-PER
sister	I-PER
,	O
I	O
will	O
put	O
some	O
trust	O
in	O
preceding	B-PER
navigators	I-PER
--	O
there	B-LOC
snow	O
and	O
frost	O
are	O
banished	O
;	O
and	O
,	O
sailing	O
over	O
a	B-LOC
calm	I-LOC
sea	I-LOC
,	O
we	O
may	O
be	O
wafted	O
to	O
a	B-LOC
land	I-LOC
surpassing	I-LOC
in	I-LOC
wonders	I-LOC
and	I-LOC
in	I-LOC
beauty	I-LOC
every	I-LOC
region	I-LOC
hitherto	I-LOC
discovered	I-LOC
on	I-LOC
the	I-LOC
habitable	I-LOC
globe	I-LOC
.	O

Its	O
productions	O
and	O
features	O
may	O
be	O
without	O
example	O
,	O
as	O
the	O
phenomena	O
of	O
the	O
heavenly	O
bodies	O
undoubtedly	O
are	O
in	O
those	B-LOC
undiscovered	I-LOC
solitudes	I-LOC
.	O

What	O
may	O
not	O
be	O
expected	O
in	O
a	B-LOC
country	I-LOC
of	I-LOC
eternal	I-LOC
light	I-LOC
?	O

I	O
may	O
there	B-LOC
discover	O
the	O
wondrous	O
power	O
which	O
attracts	O
the	O
needle	O
and	O
may	O
regulate	O
a	O
thousand	O
celestial	O
observations	O
that	O
require	O
only	O
this	O
voyage	O
to	O
render	O
their	O
seeming	O
eccentricities	O
consistent	O
forever	O
.	O

I	O
shall	O
satiate	O
my	O
ardent	O
curiosity	O
with	O
the	O
sight	O
of	O
a	B-LOC
part	I-LOC
of	I-LOC
the	I-LOC
world	I-LOC
never	I-LOC
before	I-LOC
visited	I-LOC
,	O
and	O
may	O
tread	O
a	B-LOC
land	I-LOC
never	I-LOC
before	I-LOC
imprinted	I-LOC
by	I-LOC
the	I-LOC
foot	I-LOC
of	I-LOC
man	I-LOC
.	O

These	O
are	O
my	O
enticements	O
,	O
and	O
they	O
are	O
sufficient	O
to	O
conquer	O
all	O
fear	O
of	O
danger	O
or	O
death	O
and	O
to	O
induce	O
me	O
to	O
commence	O
this	O
laborious	O
voyage	O
with	O
the	O
joy	O
a	B-PER
child	I-PER
feels	O
when	O
he	O
embarks	O
in	O
a	B-VEH
little	I-VEH
boat	I-VEH
,	O
with	O
his	B-PER
holiday	I-PER
mates	I-PER
,	O
on	O
an	O
expedition	O
of	O
discovery	O
up	O
his	B-LOC
native	I-LOC
river	I-LOC
.	O

But	O
supposing	O
all	O
these	O
conjectures	O
to	O
be	O
false	O
,	O
you	O
can	O
not	O
contest	O
the	O
inestimable	O
