BOOK	O
I.	O
MISS	B-PER
BROOKE	I-PER
.	O

CHAPTER	O
I.	O
"	O
Since	O
I	O
can	O
do	O
no	O
good	O
because	O
a	B-PER
woman	I-PER
,	O
Reach	O
constantly	O
at	O
something	O
that	O
is	O
near	O
it	O
.	O

--	O
The	B-PER
Maid	I-PER
's	O
Tragedy	O
:	O
BEAUMONT	B-PER
AND	O
FLETCHER	B-PER
.	O

Miss	B-PER
Brooke	I-PER
had	O
that	O
kind	O
of	O
beauty	O
which	O
seems	O
to	O
be	O
thrown	O
into	O
relief	O
by	O
poor	O
dress	O
.	O

Her	O
hand	O
and	O
wrist	O
were	O
so	O
finely	O
formed	O
that	O
she	O
could	O
wear	O
sleeves	O
not	O
less	O
bare	O
of	O
style	O
than	O
those	O
in	O
which	O
the	B-PER
Blessed	I-PER
Virgin	I-PER
appeared	O
to	O
Italian	B-PER
painters	I-PER
;	O
and	O
her	O
profile	O
as	O
well	O
as	O
her	O
stature	O
and	O
bearing	O
seemed	O
to	O
gain	O
the	O
more	O
dignity	O
from	O
her	O
plain	O
garments	O
,	O
which	O
by	O
the	B-FAC
side	I-FAC
of	I-FAC
provincial	I-FAC
fashion	I-FAC
gave	O
her	O
the	O
impressiveness	O
of	O
a	O
fine	O
quotation	O
from	O
the	O
Bible	O
,	O
--	O
or	O
from	O
one	O
of	O
our	B-PER
elder	I-PER
poets	I-PER
,	O
--	O
in	O
a	O
paragraph	O
of	O
to-day	O
's	O
newspaper	O
.	O

She	O
was	O
usually	O
spoken	O
of	O
as	O
being	O
remarkably	O
clever	O
,	O
but	O
with	O
the	O
addition	O
that	O
her	B-PER
sister	I-PER
Celia	B-PER
had	O
more	O
common-sense	O
.	O

Nevertheless	O
,	O
Celia	B-PER
wore	O
scarcely	O
more	O
trimmings	O
;	O
and	O
it	O
was	O
only	O
to	O
close	B-PER
observers	I-PER
that	O
her	O
dress	O
differed	O
from	O
her	B-PER
sister	I-PER
's	O
,	O
and	O
had	O
a	O
shade	O
of	O
coquetry	O
in	O
its	O
arrangements	O
;	O
for	O
Miss	B-PER
Brooke	I-PER
's	O
plain	O
dressing	O
was	O
due	O
to	O
mixed	O
conditions	O
,	O
in	O
most	O
of	O
which	O
her	B-PER
sister	I-PER
shared	O
.	O

The	O
pride	O
of	O
being	O
ladies	B-PER
had	O
something	O
to	O
do	O
with	O
it	O
:	O
the	O
Brooke	B-PER
connections	O
,	O
though	O
not	O
exactly	O
aristocratic	O
,	O
were	O
unquestionably	O
"	O
good	O
:	O
