PROLOGUE	O
THE	O
STORMING	O
OF	O
SERINGAPATAM	B-GPE
(	O
1799	O
)	O
Extracted	O
from	O
a	O
Family	O
Paper	O
I	O
address	O
these	O
lines	O
--	O
written	O
in	O
India	B-GPE
--	O
to	O
my	B-PER
relatives	I-PER
in	I-PER
England	I-PER
.	O

My	O
object	O
is	O
to	O
explain	O
the	O
motive	O
which	O
has	O
induced	O
me	O
to	O
refuse	O
the	O
right	O
hand	O
of	O
friendship	O
to	O
my	B-PER
cousin	I-PER
,	O
John	B-PER
Herncastle	I-PER
.	O

The	O
reserve	O
which	O
I	O
have	O
hitherto	O
maintained	O
in	O
this	O
matter	O
has	O
been	O
misinterpreted	O
by	O
members	B-PER
of	I-PER
my	I-PER
family	I-PER
whose	I-PER
good	I-PER
opinion	I-PER
I	I-PER
can	I-PER
not	I-PER
consent	I-PER
to	I-PER
forfeit	I-PER
.	O

I	O
request	O
them	O
to	O
suspend	O
their	O
decision	O
until	O
they	O
have	O
read	O
my	O
narrative	O
.	O

And	O
I	O
declare	O
,	O
on	O
my	O
word	O
of	O
honour	O
,	O
that	O
what	O
I	O
am	O
now	O
about	O
to	O
write	O
is	O
,	O
strictly	O
and	O
literally	O
,	O
the	O
truth	O
.	O

The	O
private	O
difference	O
between	O
my	B-PER
cousin	I-PER
and	O
me	O
took	O
its	O
rise	O
in	O
a	O
great	O
public	O
event	O
in	O
which	O
we	O
were	O
both	O
concerned	O
--	O
the	O
storming	O
of	O
Seringapatam	B-GPE
,	O
under	O
General	B-PER
Baird	I-PER
,	O
on	O
the	O
4th	O
of	O
May	O
,	O
1799	O
.	O

In	O
order	O
that	O
the	O
circumstances	O
may	O
be	O
clearly	O
understood	O
,	O
I	O
must	O
revert	O
for	O
a	O
moment	O
to	O
the	O
period	O
before	O
the	O
assault	O
,	O
and	O
to	O
the	O
stories	O
current	O
in	O
our	B-FAC
camp	I-FAC
of	O
the	O
treasure	O
in	O
jewels	O
and	O
gold	O
stored	O
up	O
in	O
the	B-FAC
Palace	I-FAC
of	I-FAC
Seringapatam	I-FAC
.	O

II	O
One	O
of	O
the	O
wildest	O
of	O
these	O
stories	O
related	O
to	O
a	O
Yellow	O
Diamond	O
--	O
a	O
famous	O
gem	O
in	O
the	O
native	O
annals	O
of	O
India	B-GPE
.	O

The	O
earliest	O
known	O
traditions	O
describe	O
the	O
stone	O
as	O
having	O
been	O
set	O
in	O
the	O
forehead	O
of	O
the	B-PER
four-handed	I-PER
Indian	I-PER
god	I-PER
who	I-PER
typifies	I-PER
the	I-PER
Moon	I-PER
.	O

Partly	O
from	O
its	O
peculiar	O
colour	O
,	O
partly	O
from	O
a	O
superstition	O
which	O
represented	O
it	O
as	O
feeling	O
the	O
influence	O
of	O
the	B-PER
deity	I-PER
whom	I-PER
it	I-PER
adorned	I-PER
,	O
and	O
growing	O
and	O
lessening	O
in	O
lustre	O
with	O
the	O
waxing	O
and	O
waning	O
of	O
the	O
moon	O
,	O
it	O
first	O
gained	O
the	O
name	O
by	O
which	O
it	O
continues	O
to	O
be	O
known	O
in	O
India	B-GPE
to	O
this	O
day	O
--	O
the	O
name	O
of	O
THE	O
MOONSTONE	O
.	O

A	O
similar	O
superstition	O
was	O
once	O
prevalent	O
,	O
as	O
I	O
have	O
heard	O
,	O
in	O
ancient	B-GPE
Greece	I-GPE
and	O
Rome	B-GPE
;	O
not	O
applying	O
,	O
however	O
(	O
as	O
in	O
India	B-GPE
)	O
,	O
to	O
a	O
diamond	O
devoted	O
to	O
the	O
service	O
of	O
a	B-PER
god	I-PER
,	O
but	O
to	O
a	O
semi-transparent	O
stone	O
of	O
the	O
inferior	O
order	O
of	O
gems	O
,	O
supposed	O
to	O
be	O
affected	O
by	O
the	O
lunar	O
influences	O
--	O
the	O
moon	O
,	O
in	O
this	O
latter	O
case	O
also	O
,	O
giving	O
the	O
name	O
by	O
which	O
the	O
stone	O
is	O
still	O
known	O
to	O
collectors	B-PER
in	O
our	O
own	O
time	O
.	O

The	O
adventures	O
of	O
the	O
Yellow	O
Diamond	O
begin	O
with	O
the	O
eleventh	O
century	O
of	O
the	O
Christian	O
era	O
.	O

At	O
that	O
date	O
,	O
the	B-PER
Mohammedan	I-PER
conqueror	I-PER
,	O
Mahmoud	B-PER
of	I-PER
Ghizni	I-PER
,	O
crossed	O
India	B-GPE
;	O
seized	O
on	O
the	B-GPE
holy	I-GPE
city	I-GPE
of	I-GPE
Somnauth	I-GPE
;	O
and	O
stripped	O
of	O
its	O
treasures	O
the	B-FAC
famous	I-FAC
temple	I-FAC
,	I-FAC
which	I-FAC
had	I-FAC
stood	I-FAC
for	I-FAC
centuries	I-FAC
--	O
the	O
shrine	O
of	O
Hindoo	O
pilgrimage	O
,	O
and	O
the	O
wonder	O
of	O
the	B-LOC
Eastern	I-LOC
world	I-LOC
.	O

Of	O
all	B-PER
the	I-PER
