PART	O
I	O
At	O
the	B-GPE
little	I-GPE
town	I-GPE
of	I-GPE
Vevey	I-GPE
,	O
in	O
Switzerland	B-GPE
,	O
there	O
is	O
a	B-FAC
particularly	I-FAC
comfortable	I-FAC
hotel	I-FAC
.	O

There	O
are	O
,	O
indeed	O
,	O
many	B-FAC
hotels	I-FAC
,	O
for	O
the	O
entertainment	O
of	O
tourists	B-PER
is	O
the	O
business	O
of	O
the	B-GPE
place	I-GPE
,	O
which	O
,	O
as	O
many	B-PER
travelers	I-PER
will	O
remember	O
,	O
is	O
seated	O
upon	O
the	B-LOC
edge	I-LOC
of	I-LOC
a	I-LOC
remarkably	I-LOC
blue	I-LOC
lake	I-LOC
--	O
a	B-LOC
lake	I-LOC
that	I-LOC
it	I-LOC
behooves	I-LOC
every	I-LOC
tourist	I-LOC
to	I-LOC
visit	I-LOC
.	O

The	B-LOC
shore	I-LOC
of	I-LOC
the	I-LOC
lake	I-LOC
presents	O
an	B-FAC
unbroken	I-FAC
array	I-FAC
of	I-FAC
establishments	I-FAC
of	I-FAC
this	I-FAC
order	I-FAC
,	O
of	O
every	O
category	O
,	O
from	O
the	B-FAC
“	I-FAC
grand	I-FAC
hotel	I-FAC
”	I-FAC
of	I-FAC
the	I-FAC
newest	I-FAC
fashion	I-FAC
,	I-FAC
with	I-FAC
a	I-FAC
chalk-white	I-FAC
front	I-FAC
,	I-FAC
a	I-FAC
hundred	I-FAC
balconies	I-FAC
,	I-FAC
and	I-FAC
a	I-FAC
dozen	I-FAC
flags	I-FAC
flying	I-FAC
from	I-FAC
its	I-FAC
roof	I-FAC
,	O
to	O
the	B-FAC
little	I-FAC
Swiss	I-FAC
pension	I-FAC
of	I-FAC
an	I-FAC
elder	I-FAC
day	I-FAC
,	I-FAC
with	I-FAC
its	I-FAC
name	I-FAC
inscribed	I-FAC
in	I-FAC
German-looking	I-FAC
lettering	I-FAC
upon	I-FAC
a	I-FAC
pink	I-FAC
or	I-FAC
yellow	I-FAC
wall	I-FAC
and	I-FAC
an	I-FAC
awkward	I-FAC
summerhouse	I-FAC
in	I-FAC
the	I-FAC
angle	I-FAC
of	I-FAC
the	I-FAC
garden	I-FAC
.	O

One	B-FAC
of	I-FAC
the	I-FAC
hotels	I-FAC
at	I-FAC
Vevey	I-FAC
,	O
however	O
,	O
is	O
famous	O
,	O
even	O
classical	O
,	O
being	O
distinguished	O
from	O
many	O
of	O
its	B-FAC
upstart	I-FAC
neighbors	I-FAC
by	O
an	O
air	O
both	O
of	O
luxury	O
and	O
of	O
maturity	O
.	O

In	O
this	B-LOC
region	I-LOC
,	O
in	O
the	O
month	O
of	O
June	O
,	O
American	B-PER
travelers	I-PER
are	O
extremely	O
numerous	O
;	O
it	O
may	O
be	O
said	O
,	O
indeed	O
,	O
that	O
Vevey	B-GPE
assumes	O
at	O
this	O
period	O
some	O
of	O
the	O
characteristics	O
of	O
an	B-LOC
American	I-LOC
watering	I-LOC
place	I-LOC
.	O

There	O
are	O
sights	O
and	O
sounds	O
which	O
evoke	O
a	O
vision	O
,	O
an	O
echo	O
,	O
of	O
Newport	B-GPE
and	O
Saratoga	B-GPE
.	O

There	O
is	O
a	O
flitting	O
hither	O
and	O
thither	O
of	O
“	B-PER
stylish	I-PER
”	I-PER
young	I-PER
girls	I-PER
,	O
a	O
rustling	O
of	O
muslin	O
flounces	O
,	O
a	O
rattle	O
of	O
dance	O
music	O
in	O
the	O
morning	O
hours	O
,	O
a	O
sound	O
of	O
high-pitched	O
voices	O
at	O
all	O
times	O
.	O

You	O
receive	O
an	O
impression	O
of	O
these	O
things	O
at	O
the	B-FAC
excellent	I-FAC
inn	I-FAC
of	I-FAC
the	I-FAC
“	I-FAC
Trois	I-FAC
Couronnes	I-FAC
”	I-FAC
and	O
are	O
transported	O
in	O
fancy	O
to	O
the	B-FAC
Ocean	I-FAC
House	I-FAC
or	O
to	O
Congress	B-FAC
Hall	I-FAC
.	O

But	O
at	O
the	B-FAC
“	I-FAC
Trois	I-FAC
Couronnes	I-FAC
,	I-FAC
”	I-FAC
it	O
must	O
be	O
added	O
,	O
there	O
are	O
other	O
features	O
that	O
are	O
much	O
at	O
variance	O
with	O
these	O
suggestions	O
:	O
neat	B-PER
German	I-PER
waiters	I-PER
,	I-PER
who	I-PER
look	I-PER
like	I-PER
secretaries	I-PER
of	I-PER
legation	I-PER
;	O
Russian	B-PER
princesses	I-PER
sitting	I-PER
in	I-PER
the	I-PER
garden	I-PER
;	O
little	B-PER
Polish	I-PER
boys	I-PER
walking	I-PER
about	I-PER
held	I-PER
by	I-PER
the	I-PER
hand	I-PER
,	I-PER
with	I-PER
their	I-PER
governors	I-PER
;	O
a	O
view	O
of	O
the	B-FAC
sunny	I-FAC
crest	I-FAC
of	I-FAC
the	I-FAC
Dent	I-FAC
du	I-FAC
Midi	I-FAC
and	O
the	B-FAC
picturesque	I-FAC
towers	I-FAC
of	I-FAC
the	I-FAC
Castle	I-FAC
of	I-FAC
Chillon	I-FAC
.	O

I	O
hardly	O
know	O
whether	O
it	O
was	O
the	O
analogies	O
or	O
the	O
differences	O
that	O
were	O
uppermost	O
in	O
the	O
mind	O
of	O
a	B-PER
young	I-PER
American	I-PER
,	I-PER
who	I-PER
,	I-PER
two	I-PER
or	I-PER
three	I-PER
years	I-PER
ago	I-PER
,	I-PER
sat	I-PER
in	I-PER
the	I-PER
garden	I-PER
of	I-PER
the	I-PER
“	I-PER
Trois	I-PER
Couronnes	I-PER
,	I-PER
”	I-PER
looking	I-PER
about	I-PER
him	I-PER
,	I-PER
rather	I-PER
idly	I-PER
,	I-PER
at	I-PER
some	I-PER
of	I-PER
the	I-PER
graceful	I-PER
objects	I-PER
I	I-PER
have	I-PER
mentioned	I-PER
.	O

It	O
was	O
a	O
beautiful	O
summer	O
morning	O
,	O
and	O
in	O
whatever	O
fashion	O
the	B-PER
young	I-PER
American	I-PER
looked	O
at	O
things	O
,	O
they	O
must	O
have	O
seemed	O
to	O
him	O
charming	O
.	O

He	O
had	O
come	O
from	O
Geneva	B-GPE
the	O
day	O
before	O
by	O
the	B-VEH
little	I-VEH
steamer	I-VEH
,	O
to	O
see	O
his	B-PER
aunt	I-PER
,	O
who	O
was	O
staying	O
at	O
the	B-FAC
hotel	I-FAC
--	O
Geneva	B-GPE
having	O
been	O
for	O
a	O
long	O
time	O
his	B-FAC
place	I-FAC
of	I-FAC
residence	I-FAC
.	O

But	O
his	B-PER
aunt	I-PER
had	O
a	O
headache	O
--	O
his	B-PER
aunt	I-PER
had	O
almost	O
always	O
a	O
headache	O
--	O
and	O
now	O
she	O
was	O
shut	O
up	O
in	O
