PART	O
I	O
.	O

The	B-LOC
Wild	I-LOC
Land	I-LOC
I	O
One	O
January	O
day	O
,	O
thirty	O
years	O
ago	O
,	O
the	B-GPE
little	I-GPE
town	I-GPE
of	I-GPE
Hanover	I-GPE
,	O
anchored	O
on	O
a	B-LOC
windy	I-LOC
Nebraska	I-LOC
tableland	I-LOC
,	O
was	O
trying	O
not	O
to	O
be	O
blown	O
away	O
.	O

A	O
mist	O
of	O
fine	O
snowflakes	O
was	O
curling	O
and	O
eddying	O
about	O
the	O
cluster	O
of	O
low	B-FAC
drab	I-FAC
buildings	I-FAC
huddled	O
on	O
the	B-LOC
gray	I-LOC
prairie	I-LOC
,	O
under	O
a	O
gray	O
sky	O
.	O

The	B-FAC
dwelling-houses	I-FAC
were	O
set	O
about	O
haphazard	O
on	O
the	O
tough	O
prairie	O
sod	O
;	O
some	O
of	O
them	O
looked	O
as	O
if	O
they	O
had	O
been	O
moved	O
in	O
overnight	O
,	O
and	O
others	O
as	O
if	O
they	O
were	O
straying	O
off	O
by	O
themselves	O
,	O
headed	O
straight	O
for	O
the	B-LOC
open	I-LOC
plain	I-LOC
.	O

None	O
of	O
them	O
had	O
any	O
appearance	O
of	O
permanence	O
,	O
and	O
the	O
howling	O
wind	O
blew	O
under	O
them	O
as	O
well	O
as	O
over	O
them	O
.	O

The	B-FAC
main	I-FAC
street	I-FAC
was	O
a	B-FAC
deeply	I-FAC
rutted	I-FAC
road	I-FAC
,	I-FAC
now	I-FAC
frozen	I-FAC
hard	I-FAC
,	I-FAC
which	I-FAC
ran	I-FAC
from	I-FAC
the	I-FAC
squat	I-FAC
red	I-FAC
railway	I-FAC
station	I-FAC
and	I-FAC
the	I-FAC
grain	I-FAC
“	I-FAC
elevator	I-FAC
”	I-FAC
at	I-FAC
the	I-FAC
north	I-FAC
end	I-FAC
of	I-FAC
the	I-FAC
town	I-FAC
to	I-FAC
the	I-FAC
lumber	I-FAC
yard	I-FAC
and	I-FAC
the	I-FAC
horse	I-FAC
pond	I-FAC
at	I-FAC
the	I-FAC
south	I-FAC
end	I-FAC
.	O

On	O
either	O
side	O
of	O
this	B-FAC
road	I-FAC
straggled	O
two	O
uneven	O
rows	O
of	O
wooden	B-FAC
buildings	I-FAC
;	O
the	B-FAC
general	I-FAC
merchandise	I-FAC
stores	I-FAC
,	O
the	B-FAC
two	I-FAC
banks	I-FAC
,	O
the	B-FAC
drug	I-FAC
store	I-FAC
,	O
the	B-FAC
feed	I-FAC
store	I-FAC
,	O
the	B-FAC
saloon	I-FAC
,	O
the	B-FAC
post-office	I-FAC
.	O

The	B-FAC
board	I-FAC
sidewalks	I-FAC
were	O
gray	O
with	O
trampled	O
snow	O
,	O
but	O
at	O
two	O
o'clock	O
in	O
the	O
afternoon	O
the	B-PER
shopkeepers	I-PER
,	O
having	O
come	O
back	O
from	O
dinner	O
,	O
were	O
keeping	O
well	O
behind	O
their	O
frosty	O
windows	O
.	O

The	B-PER
children	I-PER
were	O
all	O
in	O
school	B-FAC
,	O
and	O
there	O
was	O
nobody	B-PER
abroad	O
in	O
the	B-FAC
streets	I-FAC
but	O
a	B-PER
few	I-PER
rough-looking	I-PER
countrymen	I-PER
in	I-PER
coarse	I-PER
overcoats	I-PER
,	O
with	O
their	O
long	O
caps	O
pulled	O
down	O
to	O
their	O
noses	O
.	O

Some	O
of	O
them	O
had	O
brought	O
their	B-PER
wives	I-PER
to	O
town	B-GPE
,	O
and	O
now	O
and	O
then	O
a	O
red	O
or	O
a	O
plaid	O
shawl	O
flashed	O
out	O
of	O
one	B-FAC
store	I-FAC
into	O
the	O
shelter	O
of	O
another	B-FAC
.	O

At	O
the	O
hitch-bars	O
along	O
the	B-FAC
street	I-FAC
a	O
few	O
heavy	O
work-horses	O
,	O
harnessed	O
to	O
farm	B-VEH
wagons	I-VEH
,	O
shivered	O
under	O
their	O
blankets	O
.	O

About	O
the	B-FAC
station	I-FAC
everything	O
was	O
quiet	O
,	O
for	O
there	O
would	O
not	O
be	O
another	B-VEH
train	I-VEH
in	O
until	O
night	O
.	O

On	O
the	B-FAC
sidewalk	I-FAC
in	O
front	O
of	O
one	O
of	O
the	B-FAC
stores	I-FAC
sat	O
a	B-PER
little	I-PER
Swede	I-PER
boy	I-PER
,	O
crying	O
bitterly	O
.	O

He	O
was	O
about	O
five	O
years	O
old	O
.	O

His	O
black	O
cloth	O
coat	O
was	O
much	O
too	O
big	O
for	O
him	O
and	O
made	O
him	O
look	O
like	O
a	B-PER
little	I-PER
old	I-PER
man	I-PER
.	O

His	O
shrunken	O
brown	O
flannel	O
dress	O
had	O
been	O
washed	O
many	O
times	O
and	O
left	O
a	O
long	O
stretch	O
of	O
stocking	O
between	O
the	O
hem	O
of	O
his	O
skirt	O
and	O
the	O
tops	O
of	O
his	O
clumsy	O
,	O
copper-toed	O
shoes	O
.	O

His	O
cap	O
was	O
pulled	O
down	O
over	O
his	O
ears	O
;	O
his	O
nose	O
and	O
his	O
chubby	O
cheeks	O
were	O
chapped	O
and	O
red	O
with	O
cold	O
.	O

He	O
cried	O
quietly	O
,	O
and	O
the	B-PER
few	I-PER
people	I-PER
who	I-PER
hurried	I-PER
by	I-PER
did	O
not	O
notice	O
him	O
.	O

He	O
was	O
afraid	O
to	O
stop	O
any	B-PER
one	I-PER
,	O
afraid	O
to	O
go	O
into	O
the	B-FAC
store	I-FAC
and	O
ask	O
for	O
help	O
,	O
so	O
he	O
sat	O
wringing	O
his	O
long	O
sleeves	O
and	O
looking	O
up	O
a	O
telegraph	O
pole	O
beside	O
him	O
,	O
whimpering	O
,	O
“	O
My	O
kitten	O
,	O
oh	O
,	O
my	O
kitten	O
!	O

Her	O
will	O
fweeze	O
!	O
”	O

At	O
the	O
top	O
of	O
the	O
pole	O
crouched	O
a	O
shivering	O
gray	O
kitten	O
,	O
mewing	O
faintly	O
and	O
clinging	O
desperately	O
to	O
the	O
wood	O
with	O
her	O
claws	O
.	O

The	B-PER
boy	I-PER
had	O
been	O
left	O
at	O
the	B-FAC
store	I-FAC
while	O
his	B-PER
sister	I-PER
went	O
to	O
the	B-FAC
doctor	I-FAC
's	I-FAC
office	I-FAC
,	O
and	O
in	O
her	O
absence	O
a	O
dog	O
had	O
chased	O
his	O
kitten	O
up	O
the	O
pole	O
.	O

The	O
little	O
creature	O
had	O
never	O
been	O
so	O
high	O
before	O
,	O
and	O
she	O
was	O
too	O
frightened	O
to	O
move	O
.	O

Her	B-PER
master	I-PER
was	O
sunk	O
in	O
despair	O
.	O

He	O
was	O
a	B-PER
little	I-PER
country	I-PER
boy	I-PER
,	O
and	O
