Chapter	O
1	O
One	O
may	O
as	O
well	O
begin	O
with	O
Helen	B-PER
's	O
letters	O
to	O
her	B-PER
sister	I-PER
.	O

HOWARDS	B-FAC
END	I-FAC
,	O
TUESDAY	O
.	O

Dearest	B-PER
Meg	I-PER
,	O
It	O
is	O
n't	O
going	O
to	O
be	O
what	O
we	O
expected	O
.	O

It	O
is	O
old	O
and	O
little	O
,	O
and	O
altogether	O
delightful	O
--	O
red	O
brick	O
.	O

We	O
can	O
scarcely	O
pack	O
in	O
as	O
it	O
is	O
,	O
and	O
the	O
dear	O
knows	O
what	O
will	O
happen	O
when	O
Paul	B-PER
(	O
younger	B-PER
son	I-PER
)	O
arrives	O
tomorrow	O
.	O

From	O
hall	B-FAC
you	O
go	O
right	O
or	O
left	O
into	O
dining-room	B-FAC
or	O
drawing-room	B-FAC
.	O

Hall	B-PER
itself	O
is	O
practically	O
a	B-FAC
room	I-FAC
.	O

You	O
open	O
another	O
door	O
in	O
it	O
,	O
and	O
there	O
are	O
the	B-FAC
stairs	I-FAC
going	O
up	O
in	O
a	B-FAC
sort	I-FAC
of	I-FAC
tunnel	I-FAC
to	I-FAC
the	I-FAC
first-floor	I-FAC
.	O

Three	B-FAC
bedrooms	I-FAC
in	I-FAC
a	I-FAC
row	I-FAC
there	B-FAC
,	O
and	O
three	B-FAC
attics	I-FAC
in	I-FAC
a	I-FAC
row	I-FAC
above	I-FAC
.	O

That	O
is	O
n't	O
all	O
the	B-FAC
house	I-FAC
really	O
,	O
but	O
it	O
's	O
all	O
that	O
one	O
notices	O
--	O
nine	O
windows	O
as	O
you	O
look	O
up	O
from	O
the	B-FAC
front	I-FAC
garden	I-FAC
.	O

Then	O
there	O
's	O
a	O
very	O
big	O
wych-elm	O
--	O
to	O
the	O
left	O
as	O
you	O
look	O
up	O
--	O
leaning	O
a	O
little	O
over	O
the	B-FAC
house	I-FAC
,	O
and	O
standing	O
on	O
the	O
boundary	O
between	O
the	B-FAC
garden	I-FAC
and	O
meadow	B-LOC
.	O

I	O
quite	O
love	O
that	O
tree	O
already	O
.	O

Also	O
ordinary	O
elms	O
,	O
oaks	O
--	O
no	O
nastier	O
than	O
ordinary	O
oaks	O
--	O
pear-trees	O
,	O
apple-trees	O
,	O
and	O
a	O
vine	O
.	O

No	O
silver	O
birches	O
,	O
though	O
.	O

However	O
,	O
I	O
must	O
get	O
on	O
to	O
my	B-PER
host	I-PER
and	O
hostess	B-PER
.	O

I	O
only	O
wanted	O
to	O
show	O
that	O
it	O
is	O
n't	O
the	O
least	O
what	O
we	O
expected	O
.	O

Why	O
did	O
we	O
settle	O
that	O
their	B-FAC
house	I-FAC
would	O
be	O
all	B-FAC
gables	I-FAC
and	I-FAC
wiggles	I-FAC
,	O
and	O
their	B-FAC
garden	I-FAC
all	O
gamboge-coloured	B-FAC
paths	I-FAC
?	O

I	O
believe	O
simply	O
because	O
we	O
associate	O
them	O
with	O
expensive	B-FAC
hotels	I-FAC
--	O
Mrs.	B-PER
Wilcox	I-PER
trailing	O
in	O
beautiful	O
dresses	O
down	O
long	B-FAC
corridors	I-FAC
,	O
Mr.	B-PER
Wilcox	I-PER
bullying	O
porters	B-PER
,	O
etc	O
.	O

We	O
females	B-PER
are	O
that	O
unjust	O
.	O

I	O
shall	O
be	O
back	O
Saturday	O
;	O
will	O
let	O
you	O
know	O
train	O
later	O
.	O

They	O
are	O
as	O
angry	O
as	O
I	O
am	O
that	O
you	O
did	O
not	O
come	O
too	O
;	O
really	O
Tibby	B-PER
is	O
too	O
tiresome	O
,	O
he	O
starts	O
a	O
new	O
mortal	O
disease	O
every	O
month	O
.	O

How	O
could	O
he	O
have	O
got	O
hay	O
fever	O
in	O
London	B-GPE
?	O

and	O
even	O
if	O
he	O
could	O
,	O
it	O
seems	O
hard	O
that	O
you	O
should	O
give	O
up	O
a	O
visit	O
to	O
hear	O
a	B-PER
schoolboy	I-PER
sneeze	O
.	O

Tell	O
him	O
that	O
Charles	B-PER
Wilcox	I-PER
(	O
the	B-PER
son	I-PER
who	I-PER
is	I-PER
here	I-PER
)	O
has	O
hay	O
fever	O
too	O
,	O
but	O
he	O
's	O
brave	O
,	O
and	O
gets	O
quite	O
cross	O
when	O
we	O
inquire	O
after	O
it	O
.	O

Men	B-PER
like	I-PER
the	I-PER
Wilcoxes	I-PER
would	O
do	O
Tibby	B-PER
a	O
power	O
of	O
good	O
