CHAPTER	O
I	O
At	O
sunset	O
hour	O
the	B-LOC
forest	I-LOC
was	O
still	O
,	O
lonely	O
,	O
sweet	O
with	O
tang	O
of	O
fir	O
and	O
spruce	O
,	O
blazing	O
in	O
gold	O
and	O
red	O
and	O
green	O
;	O
and	O
the	B-PER
man	I-PER
who	I-PER
glided	I-PER
on	I-PER
under	I-PER
the	I-PER
great	I-PER
trees	I-PER
seemed	O
to	O
blend	O
with	O
the	O
colors	O
and	O
,	O
disappearing	O
,	O
to	O
have	O
become	O
a	O
part	O
of	O
the	B-LOC
wild	I-LOC
woodland	I-LOC
.	O

Old	B-LOC
Baldy	I-LOC
,	O
highest	O
of	O
the	B-PER
White	I-PER
Mountains	I-PER
,	O
stood	O
up	O
round	O
and	O
bare	O
,	O
rimmed	O
bright	O
gold	O
in	O
the	O
last	O
glow	O
of	O
the	O
setting	O
sun	O
.	O

Then	O
,	O
as	O
the	O
fire	O
dropped	O
behind	O
the	O
domed	O
peak	O
,	O
a	O
change	O
,	O
a	O
cold	O
and	O
darkening	O
blight	O
,	O
passed	O
down	O
the	B-LOC
black	I-LOC
spear-pointed	I-LOC
slopes	I-LOC
over	O
all	B-LOC
that	I-LOC
mountain	I-LOC
world	I-LOC
.	O

It	O
was	O
a	B-LOC
wild	I-LOC
,	I-LOC
richly	I-LOC
timbered	I-LOC
,	I-LOC
and	I-LOC
abundantly	I-LOC
watered	I-LOC
region	I-LOC
of	I-LOC
dark	I-LOC
forests	I-LOC
and	I-LOC
grassy	I-LOC
parks	I-LOC
,	O
ten	O
thousand	O
feet	O
above	O
sea-level	O
,	O
isolated	O
on	O
all	O
sides	O
by	O
the	B-LOC
southern	I-LOC
Arizona	I-LOC
desert	I-LOC
--	O
the	B-LOC
virgin	I-LOC
home	I-LOC
of	I-LOC
elk	I-LOC
and	I-LOC
deer	I-LOC
,	I-LOC
of	I-LOC
bear	I-LOC
and	I-LOC
lion	I-LOC
,	I-LOC
of	I-LOC
wolf	I-LOC
and	I-LOC
fox	I-LOC
,	O
and	O
the	B-LOC
birthplace	I-LOC
as	I-LOC
well	I-LOC
as	I-LOC
the	I-LOC
hiding-place	I-LOC
of	I-LOC
the	I-LOC
fierce	I-LOC
Apache	I-LOC
.	O

September	O
in	O
that	O
latitude	O
was	O
marked	O
by	O
the	O
sudden	O
cool	O
night	O
breeze	O
following	O
shortly	O
after	O
sundown	O
.	O

Twilight	O
appeared	O
to	O
come	O
on	O
its	O
wings	O
,	O
as	O
did	O
faint	O
sounds	O
,	O
not	O
distinguishable	O
before	O
in	O
the	O
stillness	O
.	O

Milt	B-PER
Dale	I-PER
,	O
man	B-PER
of	I-PER
the	I-PER
forest	I-PER
,	O
halted	O
at	O
the	O
edge	O
of	O
a	B-LOC
timbered	I-LOC
ridge	I-LOC
,	O
to	O
listen	O
and	O
to	O
watch	O
.	O

Beneath	O
him	O
lay	O
a	B-LOC
narrow	I-LOC
valley	I-LOC
,	I-LOC
open	I-LOC
and	I-LOC
grassy	I-LOC
,	I-LOC
from	I-LOC
which	I-LOC
rose	I-LOC
a	I-LOC
faint	I-LOC
murmur	I-LOC
of	I-LOC
running	I-LOC
water	I-LOC
.	O

Its	O
music	O
was	O
pierced	O
by	O
the	O
wild	O
staccato	O
yelp	O
of	O
a	O
hunting	O
coyote	O
.	O

From	O
overhead	O
in	O
the	O
giant	O
fir	O
came	O
a	O
twittering	O
and	O
rustling	O
of	O
grouse	O
settling	O
for	O
the	O
night	O
;	O
and	O
from	O
across	O
the	B-LOC
valley	I-LOC
drifted	O
the	O
last	O
low	O
calls	O
of	O
wild	O
