CHAPTER	O
I	O
JONATHAN	B-PER
HARKER	I-PER
'S	O
JOURNAL	O
(	O
_	O
Kept	O
in	O
shorthand	O
.	O

_	O
)	O
_	O
3	O
May	O
.	O

Bistritz	B-GPE
.	O

_	O
--	O
Left	O
Munich	B-GPE
at	O
8:35	O
P.	O
M.	O
,	O
on	O
1st	O
May	O
,	O
arriving	O
at	O
Vienna	B-GPE
early	O
next	O
morning	O
;	O
should	O
have	O
arrived	O
at	O
6:46	O
,	O
but	O
train	B-VEH
was	O
an	O
hour	O
late	O
.	O

Buda-Pesth	B-GPE
seems	O
a	B-GPE
wonderful	I-GPE
place	I-GPE
,	O
from	O
the	O
glimpse	O
which	O
I	O
got	O
of	O
it	O
from	O
the	B-VEH
train	I-VEH
and	O
the	O
little	O
I	O
could	O
walk	O
through	O
the	B-FAC
streets	I-FAC
.	O

I	O
feared	O
to	O
go	O
very	O
far	O
from	O
the	B-FAC
station	I-FAC
,	O
as	O
we	O
had	O
arrived	O
late	O
and	O
would	O
start	O
as	O
near	O
the	O
correct	O
time	O
as	O
possible	O
.	O

The	O
impression	O
I	O
had	O
was	O
that	O
we	O
were	O
leaving	O
the	B-LOC
West	I-LOC
and	O
entering	O
the	B-LOC
East	I-LOC
;	O
the	B-FAC
most	I-FAC
western	I-FAC
of	I-FAC
splendid	I-FAC
bridges	I-FAC
over	I-FAC
the	I-FAC
Danube	I-FAC
,	O
which	O
is	O
here	O
of	O
noble	O
width	O
and	O
depth	O
,	O
took	O
us	O
among	O
the	O
traditions	O
of	O
Turkish	O
rule	O
.	O

We	O
left	O
in	O
pretty	O
good	O
time	O
,	O
and	O
came	O
after	O
nightfall	O
to	O
Klausenburgh	B-GPE
.	O

Here	B-FAC
I	O
stopped	O
for	O
the	O
night	O
at	O
the	B-FAC
Hotel	I-FAC
Royale	I-FAC
.	O

I	O
had	O
for	O
dinner	O
,	O
or	O
rather	O
supper	O
,	O
a	O
chicken	O
done	O
up	O
some	O
way	O
with	O
red	O
pepper	O
,	O
which	O
was	O
very	O
good	O
but	O
thirsty	O
.	O

(	O
_	O
Mem	O
.	O

_	O
,	O
get	O
recipe	O
for	O
Mina	B-PER
.	O
)	O

I	O
asked	O
the	B-PER
waiter	I-PER
,	O
and	O
he	O
said	O
it	O
was	O
called	O
"	O
paprika	O
hendl	O
,	O
"	O
and	O
that	O
,	O
as	O
it	O
was	O
a	O
national	O
dish	O
,	O
I	O
should	O
be	O
able	O
to	O
get	O
it	O
anywhere	O
along	O
the	B-LOC
Carpathians	I-LOC
.	O

I	O
found	O
my	O
smattering	O
of	O
German	O
very	O
useful	O
here	O
;	O
indeed	O
,	O
I	O
do	O
n't	O
know	O
how	O
I	O
should	O
be	O
able	O
to	O
get	O
on	O
without	O
it	O
.	O

Having	O
had	O
some	O
time	O
at	O
my	O
disposal	O
when	O
in	O
London	B-GPE
,	O
I	O
had	O
visited	O
the	B-FAC
British	I-FAC
Museum	I-FAC
,	O
and	O
made	O
search	O
among	O
the	O
books	O
and	O
maps	O
in	O
the	B-FAC
library	I-FAC
regarding	O
Transylvania	B-GPE
;	O
it	O
had	O
struck	O
me	O
that	O
some	O
foreknowledge	O
of	O
the	B-GPE
country	I-GPE
could	O
hardly	O
fail	O
to	O
have	O
some	O
importance	O
in	O
dealing	O
with	O
a	B-PER
nobleman	I-PER
of	I-PER
that	I-PER
country	I-PER
.	O

I	O
find	O
that	O
the	B-GPE
district	I-GPE
he	I-GPE
named	I-GPE
is	O
in	O
the	B-LOC
extreme	I-LOC
east	I-LOC
of	I-LOC
the	I-LOC
country	I-LOC
