I	O
.	O

The	O
Return	O
THERE	O
WAS	O
SOMETHING	O
about	O
the	B-GPE
coast	I-GPE
town	I-GPE
of	I-GPE
Dunnet	I-GPE
which	O
made	O
it	O
seem	O
more	O
attractive	O
than	O
other	B-GPE
maritime	I-GPE
villages	I-GPE
of	I-GPE
eastern	I-GPE
Maine	I-GPE
.	O

Perhaps	O
it	O
was	O
the	O
simple	O
fact	O
of	O
acquaintance	O
with	O
that	B-FAC
neighborhood	I-FAC
which	O
made	O
it	O
so	O
attaching	O
,	O
and	O
gave	O
such	O
interest	O
to	O
the	B-LOC
rocky	I-LOC
shore	I-LOC
and	O
dark	B-LOC
woods	I-LOC
,	O
and	O
the	B-FAC
few	I-FAC
houses	I-FAC
which	I-FAC
seemed	I-FAC
to	I-FAC
be	I-FAC
securely	I-FAC
wedged	I-FAC
and	I-FAC
tree-nailed	I-FAC
in	I-FAC
among	I-FAC
the	I-FAC
ledges	I-FAC
by	I-FAC
the	I-FAC
Landing	I-FAC
.	O

These	B-FAC
houses	I-FAC
made	O
the	O
most	O
of	O
their	O
seaward	O
view	O
,	O
and	O
there	O
was	O
a	O
gayety	O
and	O
determined	O
floweriness	O
in	O
their	O
bits	O
of	O
garden	B-FAC
ground	I-FAC
;	O
the	O
small-paned	O
high	O
windows	O
in	O
the	O
peaks	O
of	O
their	O
steep	O
gables	O
were	O
like	O
knowing	O
eyes	O
that	O
watched	O
the	B-FAC
harbor	I-FAC
and	O
the	B-LOC
far	I-LOC
sea-line	I-LOC
beyond	O
,	O
or	O
looked	O
northward	O
all	O
along	O
the	B-LOC
shore	I-LOC
and	O
its	B-LOC
background	I-LOC
of	I-LOC
spruces	I-LOC
and	I-LOC
balsam	I-LOC
firs	I-LOC
.	O

When	O
one	O
really	O
knows	O
a	B-GPE
village	I-GPE
like	I-GPE
this	I-GPE
and	O
its	B-LOC
surroundings	I-LOC
,	O
it	O
is	O
like	O
becoming	O
acquainted	O
with	O
a	B-PER
single	I-PER
person	I-PER
.	O

The	O
process	O
of	O
falling	O
in	O
love	O
at	O
first	O
sight	O
is	O
as	O
final	O
as	O
it	O
is	O
swift	O
in	O
such	O
a	O
case	O
,	O
but	O
the	O
growth	O
of	O
true	O
friendship	O
may	O
be	O
a	O
lifelong	O
affair	O
.	O

After	O
a	O
first	O
brief	O
visit	O
made	O
two	O
or	O
three	O
summers	O
before	O
in	O
the	O
course	O
of	O
a	O
yachting	O
cruise	O
,	O
a	B-PER
lover	I-PER
of	I-PER
Dunnet	I-PER
Landing	I-PER
returned	O
to	O
find	O
the	B-LOC
unchanged	I-LOC
shores	I-LOC
of	I-LOC
the	I-LOC
pointed	I-LOC
firs	I-LOC
,	O
the	O
same	O
quaintness	O
of	O
the	B-GPE
village	I-GPE
with	I-GPE
its	I-GPE
elaborate	I-GPE
conventionalities	I-GPE
;	O
all	O
that	O
mixture	O
of	O
remoteness	O
,	O
and	O
childish	O
certainty	O
of	O
being	O
the	O
centre	O
of	O
civilization	O
of	O
which	O
her	O
affectionate	O
dreams	O
had	O
told	O
.	O

One	O
evening	O
in	O
June	O
,	O
a	B-PER
single	I-PER
passenger	I-PER
landed	O
upon	O
the	B-FAC
steamboat	I-FAC
wharf	I-FAC
.	O

The	O
tide	O
was	O
high	O
,	O
there	O
was	O
a	B-PER
fine	I-PER
crowd	I-PER
of	I-PER
spectators	I-PER
,	O
and	O
the	B-PER
younger	I-PER
portion	I-PER
of	I-PER
the	I-PER
company	I-PER
followed	O
her	O
with	O
subdued	O
excitement	O
up	O
the	B-FAC
narrow	I-FAC
street	I-FAC
of	I-FAC
the	I-FAC
salt-aired	I-FAC
,	I-FAC
white-clapboarded	I-FAC
little	I-FAC
town	I-FAC
.	O

II	O
.	O

Mrs.	B-PER
Todd	I-PER
LATER	O
,	O
THERE	O
WAS	O
only	O
one	O
fault	O
to	O
find	O
with	O
this	O
choice	O
of	O
a	B-LOC
summer	I-LOC
lodging-place	I-LOC
,	O
and	O
that	O
was	O
its	O
complete	O
lack	O
of	O
seclusion	O
.	O

At	O
first	O
the	B-FAC
tiny	I-FAC
house	I-FAC
of	I-FAC
Mrs.	I-FAC
Almira	I-FAC
Todd	I-FAC
,	I-FAC
which	I-FAC
stood	I-FAC
with	I-FAC
its	I-FAC
end	I-FAC
to	I-FAC
the	I-FAC
street	I-FAC
,	O
appeared	O
to	O
be	O
retired	O
and	O
sheltered	O
enough	O
from	O
the	B-LOC
busy	I-LOC
world	I-LOC
,	O
behind	O
its	O
bushy	O
bit	O
of	O
a	B-FAC
green	I-FAC
garden	I-FAC
,	O
in	O
which	O
all	O
the	O
blooming	O
things	O
,	O
two	O
or	O
three	O
gay	O
hollyhocks	O
and	O
some	O
London-pride	O
,	O
were	O
pushed	O
back	O
against	O
the	O
gray-shingled	O
wall	O
.	O

It	O
was	O
a	B-FAC
queer	I-FAC
little	I-FAC
garden	I-FAC
and	O
puzzling	O
to	O
a	B-PER
stranger	I-PER
,	O
the	O
few	O
flowers	O
being	O
put	O
at	O
a	O
disadvantage	O
by	O
so	O
much	O
greenery	O
;	O
but	O
the	O
discovery	O
was	O
soon	O
made	O
that	O
Mrs.	B-PER
Todd	I-PER
was	O
an	O
ardent	O
lover	O
of	O
herbs	O
,	O
both	O
wild	O
and	O
tame	O
,	O
and	O
the	O
sea-breezes	O
blew	O
into	O
the	O
low	O
end-window	O
of	O
the	B-FAC
house	I-FAC
laden	O
with	O
not	O
only	O
sweet-brier	O
and	O
sweet-mary	O
,	O
but	O
balm	O
and	O
sage	O
and	O
borage	O
and	O
mint	O
,	O
wormwood	O
and	O
southernwood	O
.	O

If	O
Mrs.	B-PER
Todd	I-PER
had	O
occasion	O
to	O
step	O
into	O
the	O
far	O
corner	O
of	O
her	B-FAC
herb	I-FAC
plot	I-FAC
,	O
she	O
trod	O
heavily	O
upon	O
thyme	O
,	O
and	O
made	O
its	O
fragrant	O
presence	O
known	O
with	O
all	O
the	O
rest	O
.	O

Being	O
a	B-PER
very	I-PER
large	I-PER
person	I-PER
,	O
her	O
full	O
skirts	O
brushed	O
and	O
bent	O
almost	O
every	O
slender	O
stalk	O
that	O
her	O
feet	O
missed	O
.	O

You	O
could	O
always	O
tell	O
when	O
she	O
was	O
stepping	O
about	O
there	O
,	O
even	O
when	O
you	O
were	O
half	O
awake	O
in	O
the	O
morning	O
,	O
and	O
learned	O
to	O
know	O
,	O
in	O
the	O
course	O
of	O
a	O
few	O
weeks	O
’	O
experience	O
,	O
in	O
exactly	O
which	O
corner	O
of	O
the	B-FAC
garden	I-FAC
she	O
might	O
be	O
.	O

At	O
one	O
side	O
of	O
this	B-FAC
herb	I-FAC
plot	I-FAC
were	O
other	O
growths	O
of	O
a	O
rustic	O
pharmacopoeia	O
,	O
great	O
treasures	O
and	O
rarities	O
among	O
the	O
commoner	O
herbs	O
.	O

There	O
were	O
some	O
strange	O
and	O
pungent	O
odors	O
that	O
roused	O
a	O
dim	O
sense	O
and	O
remembrance	O
of	O
something	O
in	O
the	O
forgotten	O
past	O
.	O

Some	O
of	O
these	O
might	O
once	O
have	O
belonged	O
to	O
sacred	O
and	O
mystic	O
rites	O
,	O
and	O
have	O
had	O
some	O
occult	O
knowledge	O
handed	O
with	O
them	O
down	O
the	O
centuries	O
;	O
but	O
now	O
they	O
pertained	O
only	O
to	O
humble	O
compounds	O
brewed	O
at	O
intervals	O
with	O
molasses	O
or	O
vinegar	O
or	O
spirits	O
in	O
a	O
small	O
caldron	O
on	O
Mrs.	B-PER
Todd	I-PER
’s	O
kitchen	B-FAC
stove	O
.	O

They	O
were	O
dispensed	O
to	O
suffering	B-PER
neighbors	I-PER
,	I-PER
who	I-PER
usually	I-PER
came	I-PER
at	I-PER
night	I-PER
as	I-PER
if	I-PER
by	I-PER
stealth	I-PER
,	I-PER
bringing	I-PER
their	I-PER
own	I-PER
ancient-looking	I-PER
vials	I-PER
to	I-PER
be	I-PER
filled	I-PER
.	O

One	O
nostrum	O
was	O
called	O
the	O
Indian	O
remedy	O
,	O
and	O
its	O
price	O
was	O
but	O
fifteen	O
cents	O
;	O
the	O
whispered	O
directions	O
could	O
be	O
heard	O
as	O
customers	B-PER
passed	O
the	O
windows	O
.	O

With	O
most	O
remedies	O
the	B-PER
purchaser	I-PER
was	O
allowed	O
to	O
depart	O
unadmonished	O
from	O
the	B-FAC
kitchen	I-FAC
,	O
Mrs.	B-PER
Todd	I-PER
being	O
a	B-PER
wise	I-PER
saver	I-PER
of	I-PER
steps	I-PER
;	O
but	O
with	O
certain	O
vials	O
she	O
gave	O
cautions	O
,	O
standing	O
in	O
the	O
doorway	O
,	O
and	O
there	O
were	O
other	O
doses	O
which	O
had	O
to	O
be	O
accompanied	O
on	O
their	O
healing	O
way	O
as	O
far	O
as	O
the	O
gate	O
,	O
while	O
she	O
muttered	O
long	O
chapters	O
of	O
directions	O
,	O
and	O
kept	O
up	O
an	O
air	O
of	O
secrecy	O
and	O
importance	O
to	O
the	O
last	O
.	O

It	O
may	O
not	O
have	O
been	O
only	O
the	O
common	O
aids	O
of	O
humanity	O
with	O
which	O
she	O
tried	O
to	O
cope	O
;	O
it	O
seemed	O
sometimes	O
as	O
if	O
love	O
and	O
hate	O
and	O
jealousy	O
and	O
adverse	O
winds	O
at	O
sea	B-LOC
might	O
also	O
find	O
their	O
proper	O
remedies	O
among	O
the	O
curious	O
wild-looking	O
plants	O
in	O
Mrs.	B-FAC
Todd	I-FAC
’s	I-FAC
garden	I-FAC
.	O

The	B-PER
village	I-PER
doctor	I-PER
and	O
this	B-PER
learned	I-PER
herbalist	I-PER
were	O
upon	O
the	O
best	O
of	O
terms	O
.	O

The	B-PER
good	I-PER
man	I-PER
may	O
have	O
counted	O
upon	O
the	O
unfavorable	O
effect	O
of	O
certain	O
potions	O
which	O
he	O
should	O
find	O
his	O
opportunity	O
in	O
counteracting	O
;	O
at	O
any	O
rate	O
,	O
he	O
now	O
and	O
then	O
stopped	O
and	O
exchanged	O
greetings	O
with	O
Mrs.	B-PER
Todd	I-PER
over	O
the	O
picket	O
fence	O
.	O

The	O
conversation	O
became	O
at	O
once	O
professional	O
after	O
the	O
briefest	O
preliminaries	O
,	O
and	O
he	O
would	O
stand	O
twirling	O
a	O
sweet-scented	O
sprig	O
in	O
his	O
fingers	O
,	O
and	O
make	O
suggestive	O
jokes	O
,	O
perhaps	O
about	O
her	O
faith	O
in	O
a	O
too	O
persistent	O
course	O
of	O
thoroughwort	O
elixir	O
,	O
in	O
which	O
my	B-PER
landlady	I-PER
professed	O
such	O
firm	O
belief	O
as	O
sometimes	O
to	O
endanger	O
the	O
life	O
and	O
usefulness	O
of	O
worthy	B-PER
neighbors	I-PER
.	O

To	O
arrive	O
at	O
this	B-GPE
quietest	I-GPE
of	I-GPE
seaside	I-GPE
villages	I-GPE
late	O
in	O
June	O
,	O
when	O
the	O
busy	O
herb-gathering	O
season	O
was	O
just	O
beginning	O
,	O
was	O
also	O
to	O
arrive	O
in	O
the	O
early	O
prime	O
of	O
Mrs.	B-PER
Todd	I-PER
’s	O
activity	O
in	O
the	O
brewing	O
of	O
old-fashioned	O
spruce	O
beer	O
.	O

This	O
cooling	O
and	O
refreshing	O
drink	O
had	O
been	O
brought	O
to	O
wonderful	O
perfection	O
through	O
a	O
long	O
series	O
of	O
experiments	O
;	O
it	O
had	O
won	O
immense	O
local	O
fame	O
,	O
and	O
the	O
supplies	O
for	O
its	O
manufacture	O
were	O
always	O
giving	O
out	O
and	O
having	O
to	O
be	O
replenished	O
.	O

For	O
various	O
reasons	O
,	O
the	O
seclusion	O
and	O
uninterrupted	O
days	O
which	O
had	O
been	O
looked	O
forward	O
to	O
proved	O
to	O
be	O
very	O
rare	O
in	O
this	O
otherwise	O
delightful	O
corner	O
of	O
the	B-LOC
world	I-LOC
.	O

My	B-PER
hostess	I-PER
and	O
I	O
had	O
made	O
our	O
shrewd	O
business	O
agreement	O
on	O
the	O
basis	O
of	O
a	O
simple	O
cold	O
luncheon	O
at	O
noon	O
,	O
and	O
liberal	O
restitution	O
in	O
the	O
matter	O
of	O
hot	O
suppers	O
,	O
to	O
provide	O
for	O
which	O
the	B-PER
lodger	I-PER
might	O
sometimes	O
be	O
seen	O
hurrying	O
down	O
the	B-FAC
road	I-FAC
,	O
late	O
in	O
the	O
day	O
,	O
with	O
cunner	O
line	O
in	O
hand	O
.	O

It	O
was	O
soon	O
found	O
that	O
this	O
arrangement	O
made	O
large	O
allowance	O
for	O
Mrs.	B-PER
Todd	I-PER
’s	O
slow	O
herb-gathering	O
progresses	O
through	O
woods	B-LOC
and	O
pastures	B-LOC
.	O

The	B-PER
spruce-beer	I-PER
customers	I-PER
were	O
pretty	O
steady	O
in	O
hot	O
weather	O
,	O
and	O
there	O
were	O
many	O
demands	O
for	O
different	O
soothing	O
syrups	O
and	O
elixirs	O
with	O
which	O
the	O
unwise	O
curiosity	O
of	O
my	O
early	O
residence	O
had	O
made	O
me	O
acquainted	O
.	O

Knowing	O
Mrs.	B-PER
Todd	I-PER
to	O
be	O
a	B-PER
widow	I-PER
,	O
who	O
had	O
little	O
beside	O
this	O
slender	O
business	O
and	O
the	O
income	O
from	O
one	B-PER
hungry	I-PER
lodger	I-PER
to	O
maintain	O
her	O
,	O
one	O
’s	O
energies	O
and	O
even	O
interest	O
were	O
quickly	O
bestowed	O
,	O
until	O
it	O
became	O
a	O
matter	O
of	O
course	O
that	O
she	O
should	O
go	O
afield	O
every	O
pleasant	O
day	O
,	O
and	O
that	O
the	B-PER
lodger	I-PER
should	O
answer	O
all	O
peremptory	O
knocks	O
at	O
the	O
side	O
door	O
.	O

In	O
taking	O
an	O
occasional	O
wisdom-giving	O
stroll	O
in	O
Mrs.	B-PER
Todd	I-PER
’s	O
company	O
,	O
and	O
in	O
acting	O
as	O
business	B-PER
partner	I-PER
during	O
her	O
frequent	O
absences	O
,	O
I	O
found	O
the	O
July	O
days	O
fly	O
fast	O
,	O
and	O
it	O
was	O
not	O
until	O
I	O
felt	O
myself	O
confronted	O
with	O
too	O
great	O
pride	O
and	O
pleasure	O
in	O
the	O
display	O
,	O
one	O
night	O
,	O
of	O
two	O
dollars	O
and	O
twenty-seven	O
cents	O
which	O
I	O
had	O
taken	O
in	O
during	O
the	O
day	O
,	O
that	O
I	O
remembered	O
a	O
long	O
piece	O
of	O
writing	O
,	O
sadly	O
belated	O
now	O
,	O
which	O
I	O
was	O
bound	O
to	O
do	O
.	O

To	O
have	O
been	O
patted	O
kindly	O
on	O
the	O
shoulder	O
and	O
called	O
“	O
darlin	B-PER
’	O
,	O
”	O
to	O
have	O
been	O
offered	O
a	O
surprise	O
of	O
early	O
mushrooms	O
for	O
supper	O
,	O
to	O
have	O
had	O
all	O
the	O
glory	O
of	O
making	O
two	O
dollars	O
and	O
twenty-seven	O
cents	O
in	O
a	O
single	O
day	O
,	O
and	O
then	O
to	O
renounce	O
it	O
all	O
and	O
withdraw	O
from	O
these	O
pleasant	O
successes	O
,	O
needed	O
much	O
resolution	O
.	O

Literary	O
employments	O
are	O
so	O
vexed	O
with	O
uncertainties	O
at	O
best	O
,	O
and	O
it	O
was	O
not	O
until	O
the	O
voice	O
of	O
conscience	O
sounded	O
louder	O
in	O
my	O
ears	O
than	O
the	B-LOC
sea	I-LOC
on	O
the	B-LOC
nearest	I-LOC
pebble	I-LOC
beach	I-LOC
that	O
I	O
said	O
unkind	O
words	O
of	O
withdrawal	O
to	O
Mrs.	B-PER
Todd	I-PER
.	O

She	O
only	O
became	O
more	O
wistfully	O
affectionate	O
than	O
ever	O
in	O
her	O
expressions	O
,	O
and	O
looked	O
as	O
disappointed	O
as	O
I	O
expected	O
when	O
I	O
frankly	O
told	O
her	O
that	O
I	O
could	O
no	O
longer	O
enjoy	O
the	O
pleasure	O
of	O
what	O
we	O
called	O
“	O
seein	O
’	O
folks	B-PER
.	O
”	O

I	O
felt	O
that	O
I	O
was	O
cruel	O
to	O
a	B-PER
whole	I-PER
neighborhood	I-PER
in	O
curtailing	O
her	O
liberty	O
in	O
this	O
most	O
important	O
season	O
for	O
harvesting	O
the	O
different	O
wild	O
herbs	O
that	O
were	O
so	O
much	O
counted	O
upon	O
to	O
ease	O
their	O
winter	O
ails	O
.	O

“	O
Well	O
,	O
dear	B-PER
,	O
”	O
she	O
said	O
sorrowfully	O
,	O
“	O
I	O
’ve	O
took	O
great	O
advantage	O
o	O
’	O
your	O
bein	O
’	O
here	O
.	O

I	O
ai	O
n’t	O
had	O
such	O
a	O
season	O
for	O
years	O
,	O
but	O
I	O
have	O
never	O
had	O
nobody	B-PER
I	O
could	O
so	O
trust	O
.	O

All	O
you	O
lack	O
is	O
a	O
few	O
qualities	O
,	O
but	O
with	O
time	O
you	O
’d	O
gain	O
judgment	O
an	O
’	O
experience	O
,	O
an	O
’	O
be	O
very	O
able	O
in	O
the	O
business	O
.	O

I	O
’d	O
stand	O
right	O
here	O
an	O
’	O
say	O
it	O
to	O
anybody	B-PER
.	O
”	O

Mrs.	B-PER
Todd	I-PER
and	O
I	O
were	O
not	O
separated	O
or	O
estranged	O
by	O
the	O
change	O
in	O
our	O
business	O
relations	O
;	O
on	O
the	O
contrary	O
,	O
a	O
deeper	O
intimacy	O
seemed	O
to	O
begin	O
.	O

I	O
do	O
not	O
know	O
what	O
herb	O
of	O
the	O
night	O
it	O
was	O
that	O
used	O
sometimes	O
to	O
send	O
out	O
a	O
penetrating	O
odor	O
late	O
in	O
the	O
evening	O
,	O
after	O
the	O
dew	O
had	O
fallen	O
,	O
and	O
the	O
moon	O
was	O
high	O
,	O
and	O
the	O
cool	O
air	O
came	O
up	O
from	O
the	B-LOC
sea	I-LOC
.	O

Then	O
Mrs.	B-PER
Todd	I-PER
would	O
feel	O
that	O
she	O
must	O
talk	O
to	O
somebody	B-PER
,	O
and	O
I	O
was	O
only	O
too	O
glad	O
to	O
listen	O
.	O

We	O
both	O
fell	O
under	O
the	O
spell	O
,	O
and	O
she	O
either	O
stood	O
outside	O
the	O
window	O
,	O
or	O
made	O
an	O
errand	O
to	O
my	B-FAC
sitting-room	I-FAC
,	O
and	O
told	O
,	O
it	O
might	O
be	O
very	O
commonplace	O
news	O
of	O
the	O
day	O
,	O
or	O
,	O
as	O
happened	O
one	O
misty	O
summer	O
night	O
,	O
all	O
that	O
lay	O
deepest	O
in	O
her	O
heart	O
.	O

It	O
was	O
in	O
this	O
way	O
that	O
I	O
came	O
to	O
know	O
that	O
she	O
had	O
loved	O
one	B-PER
who	I-PER
was	I-PER
far	I-PER
above	I-PER
her	I-PER
.	O

“	O
No	O
,	O
dear	O
,	O
him	O
I	O
speak	O
of	O
could	O
never	O
think	O
of	O
me	O
,	O
”	O
she	O
said	O
