CHAPTER	O
I	O
Chiswick	B-FAC
Mall	I-FAC
While	O
the	O
present	O
century	O
was	O
in	O
its	O
teens	O
,	O
and	O
on	O
one	O
sunshiny	O
morning	O
in	O
June	O
,	O
there	O
drove	O
up	O
to	O
the	O
great	O
iron	O
gate	O
of	O
Miss	B-FAC
Pinkerton	I-FAC
's	I-FAC
academy	I-FAC
for	I-FAC
young	I-FAC
ladies	I-FAC
,	O
on	O
Chiswick	B-FAC
Mall	I-FAC
,	O
a	B-VEH
large	I-VEH
family	I-VEH
coach	I-VEH
,	O
with	O
two	O
fat	O
horses	O
in	O
blazing	O
harness	O
,	O
driven	O
by	O
a	B-PER
fat	I-PER
coachman	I-PER
in	O
a	O
three-cornered	O
hat	O
and	O
wig	O
,	O
at	O
the	O
rate	O
of	O
four	O
miles	O
an	O
hour	O
.	O

A	B-PER
black	I-PER
servant	I-PER
,	O
who	O
reposed	O
on	O
the	O
box	O
beside	O
the	B-PER
fat	I-PER
coachman	I-PER
,	O
uncurled	O
his	O
bandy	O
legs	O
as	O
soon	O
as	O
the	O
equipage	O
drew	O
up	O
opposite	O
Miss	B-PER
Pinkerton	I-PER
's	O
shining	O
brass	O
plate	O
,	O
and	O
as	O
he	O
pulled	O
the	O
bell	O
at	O
least	O
a	O
score	O
of	O
young	O
heads	O
were	O
seen	O
peering	O
out	O
of	O
the	O
narrow	O
windows	O
of	O
the	B-FAC
stately	I-FAC
old	I-FAC
brick	I-FAC
house	I-FAC
.	O

Nay	O
,	O
the	B-PER
acute	I-PER
observer	I-PER
might	O
have	O
recognized	O
the	O
little	O
red	O
nose	O
of	O
good-natured	B-PER
Miss	I-PER
Jemima	I-PER
Pinkerton	I-PER
herself	O
,	O
rising	O
over	O
some	O
geranium	O
pots	O
in	O
the	O
window	O
of	O
that	B-FAC
lady	I-FAC
's	I-FAC
own	I-FAC
drawing-room	I-FAC
.	O

"	O
It	O
is	O
Mrs.	B-VEH
Sedley	I-VEH
's	I-VEH
coach	I-VEH
,	O
sister	B-PER
,	O
"	O
said	O
Miss	B-PER
Jemima	I-PER
.	O

"	O
Sambo	B-PER
,	O
the	B-PER
black	I-PER
servant	I-PER
,	O
has	O
just	O
rung	O
the	O
bell	O
;	O
and	O
the	B-PER
coachman	I-PER
has	O
a	O
new	O
red	O
waistcoat	O
.	O
"	O

"	O
Have	O
you	O
completed	O
all	O
the	O
necessary	O
preparations	O
incident	O
to	O
Miss	B-PER
Sedley	I-PER
's	O
departure	O
,	O
Miss	B-PER
Jemima	I-PER
?	O
"	O

asked	O
Miss	B-PER
Pinkerton	I-PER
herself	O
,	O
that	B-PER
majestic	I-PER
lady	I-PER
;	O
the	B-PER
Semiramis	I-PER
of	I-PER
Hammersmith	I-PER
,	O
the	B-PER
friend	I-PER
of	I-PER
Doctor	I-PER
Johnson	I-PER
,	O
the	B-PER
correspondent	I-PER
of	I-PER
Mrs.	I-PER
Chapone	I-PER
herself	I-PER
.	O

"	O
The	B-PER
girls	I-PER
were	O
up	O
at	O
four	O
this	O
morning	O
,	O
packing	O
her	O
trunks	O
,	O
sister	B-PER
,	O
"	O
replied	O
Miss	B-PER
Jemima	I-PER
;	O
"	O
we	O
have	O
made	O
her	O
a	O
bow-pot	O
.	O
"	O

"	O
Say	O
a	O
bouquet	O
,	O
sister	B-PER
Jemima	I-PER
,	O
't	O
is	O
more	O
genteel	O
.	O
"	O

